,question,answer,answer_start,is_impossible,context
93,Which kind of growth pattern could be seen in most countries at the beginning?,exponential growth,315,FALSE,"An automated statistical and error analysis of 45 countries or regions with more than 1000 cases of COVID-19 as of March 28, 2020, has been performed. This study reveals differences in the rate of disease spreading rate over time in different countries. This survey observes that most countries undergo a beginning exponential growth phase, which transitions into a power-law phase, as recently suggested by Ziff and Ziff. Tracking indicators of growth, such as the power-law exponent, are a good indication of the relative danger different countries are in and show when social measures are effective towards slowing the spread. The data compiled here are usefully synthesizing a global picture, identifying country to country variation in spreading, and identifying countries most at risk. This analysis may factor into how best to track the effectiveness of social distancing policies and quarantines in real-time as data is updated each day."
94,What was analyzed for recognizing S protein?,the key residues of ACE2,197,FALSE,"Abstract SARS-CoV-2 causes the recent global COVID-19 public health emergency. ACE2 is the receptor for both SARS-CoV-2 and SARS-CoV. To predict the potential host range of SARS-CoV-2, we analyzed the key residues of ACE2 for recognizing S protein. We found that most of the selected mammals including pets (dog and cat), pangolin and Circetidae mammals remained the most of key residues for association with S protein from SARS-CoV and SARS-CoV-2. The interaction interface between cat/dog/pangolin/Chinese hamster ACE2 and SARS-CoV/SARS-CoV-2 S protein was simulated through homology modeling. We identified that N82 in ACE2 showed a closer contact with SARS-CoV-2 S protein than M82 in human ACE2. Our finding will provide important insights into the host range of SARS-CoV-2 and a new strategy to design an optimized ACE2 for SARS-CoV-2 infection."
95,What is the percentage of participants that stayed at home during the COVID-19 outbreak?,33%,792,FALSE,"Background What are the health and wellbeing conditions of people during the COVID-19 outbreak in China? The epidemiological reports now focus on the confirmed COVID-19 cases, and we aim to assess the health and wellbeing of normal adults living and working after one month of public health emergencies into the COVID-19 outbreak in China. Methods One month into the outbreak, on Feb 20/21, 2020, we sampled 369 adults on the eight dimensions of health (SF12), distress (K6), and life satisfaction in 64 cities that varied in their densities of coronavirus confirmed cases. The participants also reported their work status, whether they had chronic health issues, the number of hours they exercised per day in the past week. Findings In general, life of normal adults was severely disrupted. 33% of the participants had not left their home at all during the one-month period due to the restrictive measures to contain COVID-19 in China. 27% of the participants worked at office; 38% resorted to working from home; and 25% suspended working due to the outbreak. Those who suspended working reported worse health conditions by SF12 as well as distress (K6). The severity of the COVID-19 in individuals location predicts their life satisfaction, and this relationship is moderated by the existing chronic health issues and exercising hour of each individual. Interpretation Our findings support the need to pay attention to the health of people who were not affected by the virus epistemologically. We need to support especially people who suspended working during the outbreak. Our results also highlight that people who are usually active, as indicated by more exercises, might be more suspectable to wellbeing issues due to the lockdown. Policymakers who are thinking of introducing measures to contain COVID-19 may benefit from understanding such health and welling implications."
96,What is the maximum temperature range in this report?,-28.0 to 30.1 °C,1348,FALSE,"Background: The outbreak of COVID-19 in China in early 2020 provides a rich data source for exploring the ecological determinants of this new infection, which may be of relevance elsewhere. Objectives: Assessing the spread of the COVID-19 across China, in relation to associations between cases and ecological factors including population density, temperature, solar radiation and precipitation. Methods: Open-access COVID-19 case data include 18,069 geo-located cases in China during January and February 2020, which were mapped onto a 0.25° latitude/longitude grid together with population and weather data (temperature, solar radiation and precipitation). Of 15,539 grid cells, 559 (3.6%) contained at least one case, and these were used to construct a Poisson regression model of cell-weeks. Weather parameters were taken for the preceding week given the established 5-7 day incubation period for COVID-19. The dependent variable in the Poisson model was incident cases per cell-week and exposure was cell population, allowing for clustering of cells over weeks, to give incidence rate ratios. Results: The overall COVID-19 incidence rate in cells with confirmed cases was 0.12 per 1,000. There was a single case in 113/559 (20.2%) of cells, while two grid cells recorded over 1,000 cases. Weekly means of maximum daily temperature varied from -28.0 to 30.1 °C, minimum daily temperature from -42.4 to 23.0 °C, maximum solar radiation from 0.04 to 2.74 MJm-2 and total precipitation from 0 to 72.6 mm. Adjusted incidence rate ratios suggested brighter, warmer and drier conditions were associated with lower incidence. Conclusion: Though not demonstrating cause and effect, there were appreciable associations between weather and COVID-19 incidence during the epidemic in China. This does not mean the pandemic will go away with summer weather but demonstrates the importance of using weather conditions in understanding and forecasting the spread of COVID-19."
97,What was the overall COVID-19 incidence rate in cells with confirmed cases?,"0.12 per 1,000",1178,FALSE,"Background: The outbreak of COVID-19 in China in early 2020 provides a rich data source for exploring the ecological determinants of this new infection, which may be of relevance elsewhere. Objectives: Assessing the spread of the COVID-19 across China, in relation to associations between cases and ecological factors including population density, temperature, solar radiation and precipitation. Methods: Open-access COVID-19 case data include 18,069 geo-located cases in China during January and February 2020, which were mapped onto a 0.25Â° latitude/longitude grid together with population and weather data (temperature, solar radiation and precipitation). Of 15,539 grid cells, 559 (3.6%) contained at least one case, and these were used to construct a Poisson regression model of cell-weeks. Weather parameters were taken for the preceding week given the established 5-7 day incubation period for COVID-19. The dependent variable in the Poisson model was incident cases per cell-week and exposure was cell population, allowing for clustering of cells over weeks, to give incidence rate ratios. Results: The overall COVID-19 incidence rate in cells with confirmed cases was 0.12 per 1,000. There was a single case in 113/559 (20.2%) of cells, while two grid cells recorded over 1,000 cases. Weekly means of maximum daily temperature varied from -28.0 to 30.1 Â°C, minimum daily temperature from -42.4 to 23.0 Â°C, maximum solar radiation from 0.04 to 2.74 MJm-2 and total precipitation from 0 to 72.6 mm. Adjusted incidence rate ratios suggested brighter, warmer and drier conditions were associated with lower incidence. Conclusion: Though not demonstrating cause and effect, there were appreciable associations between weather and COVID-19 incidence during the epidemic in China. This does not mean the pandemic will go away with summer weather but demonstrates the importance of using weather conditions in understanding and forecasting the spread of COVID-19."
98,Where did the ongoing pandemic of the coronavirus disease 2019 (COVID-19) start in?,China,75,FALSE,"The ongoing pandemic of the coronavirus disease 2019 (COVID-19) started in China and devastated a vast majority of countries. In India, COVID-19 cases are steadily increasing since January 30, 2020, and the government-imposed lockdown across the country to curtail community transmission. COVID-19 forecasts have played an important role in capturing the probability of infection and the basic reproduction rate. In this study, we predicted some trajectories of trajectories associated with COVID-19 in the coming days in India using an Auto-regression integrated moving average model (ARIMA) and Richards model. By the end of April 2020, the incidence of new cases is predicted to be 5200 (95% CI: 4650 to 6002) through the ARIMA model versus be 6378 (95% CI: 4904 to 7851) Richard model. We estimated that there would be a total of 197 (95% CI: 118 to 277) deaths and drop down in the recovery rates will reach around 501 (95% CI: 245 to 758) by the end of April 2020. These estimates can help to strengthen the implementation of strategies to increase the health system capacity and enactment of social distancing measures all over India."
99,What can the newly identified SARS-CoV2 can cause?,serious acute respiratory infections such as pneumonia,55,FALSE,"Introduction: The newly identified SARS-CoV2 can cause serious acute respiratory infections such as pneumonia with a mortality rate of approximately 2% to 4%. In the current context of high incidence rates of SARS-CoV2 in the community, a significant increase in the rate of nosocomial transmission is expected. The risk of nosocomial transmission could even be higher in low-income countries that have fragile healthcare systems. This protocol is intended to study and document suspected or confirmed cases of nosocomial SARS-CoV2 infection, the clinical spectrum and the determinants (risk factors/protective) at participating hospitals. Methods and analysis: This will be an international multicentre prospective, observational, hospital-based study in adults and children. It will include volunteer patients, care givers and healthcare professionals in France and hospitals affiliated with the GABRIEL network. Demographic and clinical data will be collected using case-report forms designed especially for the purpose of the project. A nasopharyngeal swab will be collected and tested for SARS-CoV2 by RT-PCR. Characteristics of the study participants, the proportion of confirmed nosocomial SARS-CoV2 infections relative to all patients with syndromes suggestive of 2019-nCoV infection will be analysed. Appropriate multivariate modelling will be used to identify the determinants associated with nosocomial onset. Ethics and dissemination: This study was approved by the clinical research and committee of Ile de France V on March 8, 2020. Registration details: The trial was registered in ClinicalTrials (NCT04290780)."
100,When was the first case of COVID-19 in sub-Saharan Africa reported in Nigeria?,"On Feb 27, 2020",694,FALSE,"Despite major advances in epidemic preparedness, Africa remains uniquely susceptible to novel coronavirus disease 2019 (COVID-19). According to the Infectious Disease Vulnerability Index,1 22 of the 25 countries most susceptible to an infectious disease outbreak are in Africa. The high prevalence of HIV, tuberculosis, and other pathogens might potentiate the severity of COVID-19 and contribute to diagnostic uncertainty. Health-care systems and human resources are already spread thin. And although the young age of the population (with more than half aged younger than 20 years) might prove protective, it also means that Africa has much to lose in terms of disability-adjusted life years. On Feb 27, 2020, the first case of COVID-19 in sub-Saharan Africa was reported in Nigeria, making spread in the region more probable.2 While preparing a response to COVID-19 outbreak in Uganda, we read Jinnong Zhang and colleagues' work with great interest.3 We commend the authors for distilling complex information regarding triage and clinical care for patients who have a novel pathogen, for which there is little evidence, into a succinct flowchart. Unfortunately, many aspects of their algorithm would not be feasible in our setting. Chest CT, complete blood counts with differential, and C-reactive protein are all central to their algorithm, and none are routinely available in Uganda."
101,What were inversely associated with the incidence rate of Covid-19?,"temperature, humidity, and wind speed",344,FALSE,"In absence of empirical research data, there has been considerable speculative hypothesis on the relationship between climatic factors (such as temperature and humidity) and the incidence of Covid-19. This study analyzed the data from 310 regions across 116 countries that reported confirmed cases of Covid-19 by March 12, 2020, and found that temperature, humidity, and wind speed were inversely associated with the incidence rate of Covid-19 after adjusting for the regional and temporal trend in the incidence of Covid-19, columnar density of ozone, precipitation probability, sea-level air-pressure, and length of daytime."
102,What does more evidence suggest recently?,a substantial fraction of the infected individuals with the novel coronavirus show little if any symptoms,489,FALSE,"Background: Since the first cluster of cases was identified in Wuhan City, China, in December, 2019, coronavirus disease 2019 (COVID-19) has rapidly spread across China, causing multiple introductions in 109 countries/territories/areas as of March 10th. Despite the scarcity of publicly available data, scientists around the world have made strides in estimating the magnitude of the epidemic, the basic reproduction number, and transmission patterns. Recently more evidence suggests that a substantial fraction of the infected individuals with the novel coronavirus show little if any symptoms, which suggest the need to reassess the transmission potential of this emerging disease. In this study, we derive estimates of the transmissibility and virulence of COVID-19 in Wuhan City, China, by reconstructing the underlying transmission dynamics using multiple data sources. Methods: We employ statistical methods and publicly available epidemiological datasets to jointly derive estimates of transmissibility and severity associated with the novel coronavirus. For this purpose, the daily series of laboratory-confirmed COVID-19 cases and deaths in Wuhan City and epidemiological data of Japanese evacuees from Wuhan City on board government-chartered flights were integrated into our analysis. Results: Our posterior estimates of basic reproduction number (R) in Wuhan City, China in 2019-2020 reached values as high as 5.20 (95%CrI: 5.04-5.47) and the enhanced public health intervention after January 23rd in 2020 was associated with a declined R at 0.58 (95%CrI: 0.51-0.64), with the total number of infections (i.e. cumulative infections) estimated at 1905526 (95%CrI: 1350283-2655936) in Wuhan City, raising the proportion of infected individuals to 19.1% (95%CrI: 13.5-26.6%). We also found that most recent crude infection fatality ratio (IFR) and time-delay adjusted IFR is estimated to be 0.04% (95% CrI: 0.03-0.06%) and 0.12% (95%CrI: 0.08-0.17%), which is several orders of magnitude smaller than the crude CFR estimated at 4.19% Conclusions: We have estimated key epidemiological parameters of the transmissibility and virulence of COVID-19 in Wuhan, China during January-February, 2020 using an ecological modelling approach. The power of our approach lies in the ability to infer epidemiological parameters with quantified uncertainty from partial observations collected by surveillance systems."
103,What show a very sytable and very fitting conformational complex formation tendency with the Toll like receptor 3?,Both the CTL and HTL MEVs models ,1826,FALSE,"AbstractThe 2019 novel coronavirus (COVID19 / Wuhan coronavirus), officially named as Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2), is a positive-sense single-stranded RNA coronavirus. SARS-CoV-2 causes the contagious COVID19 disease also known as 2019-nCoV acute respiratory disease and has led to the ongoing 2019â€“20 pandemic COVID19 outbreak. The effective countermeasures against SARS-CoV-2 infection requires the design and development of specific and effective vaccine candidate. In the present study we have screened 38 CTL, 42 HTL and 12 B cell epitopes by utilizing different in silico tools. The screened epitopes were further validated for their binding with their respective HLA allele binders and TAP (Transporter associated with antigen processing) molecule by molecular docking. The screened epitopes were further utilized to design novel two multi-epitope vaccines (MEVs) composed of CTL, HTL and B cell epitopes overlaps with potential to elicit humoral as well as cellular immune response against SARS-CoV-2. To enhance the immune response for our vaccine design, truncated (residues 10-153) Onchocerca volvulus activation-associated secreted protein-1 (Ov-ASP-1) has been utilized as an adjuvant at N terminal of both the MEVs. Further molecular models for both the MEVs were prepared and validated for their stable molecular interaction with Toll-Like Receptor 3 (TLR 3). The codon-optimized cDNA of both the MEVs were further analyzed for their potential of high level of expression in Human cell line. The present study proposes in-silico validated design of two MEVs against SARS-CoV-2 to elicit humoral as well as cellular immune response.Graphical abstractThe designed CTL (Cytotoxic T lymphocyte) and HTL (Helper T lymphocyte) multi-epitope vaccine (MEV) against COVID19 infection. Both the CTL and HTL MEVs models show a very sytable and very fitting conformational complex formation tendency with the Toll like receptor 3. CTL and HTL MEVs: ribbon; Toll like receptor 3: gray cartoon; Adjuvant [truncated (residues 10-53). Onchocerca volvulus activation-associated secrete protein-1]: orange ribbon; Epitopes: cyan ribbons regions; 6xHis Tag: magenta ribbon region"
104,What has been approved as an emergency treatment for the coronavirus disease 2019 (COVID-19) in the United States and in Europe?,"the antimalarial drug, chloroquine",33,FALSE,"Objectives: In early April 2020, the antimalarial drug, chloroquine, has been approved as an emergency treatment for the coronavirus disease 2019 (COVID-19) in the United States and in Europe. Although infrequent, neuropsychiatric symptoms have been reported in patients who received chloroquine for the treatment of malaria or autoimmune diseases. In this study, we investigated these adverse events (AEs) using a large self-reporting database. Materials and Methods: We conducted a disproportionality analysis for the detection of neuropsychiatric AE signals associated with the use of chloroquine (or hydroxychloroquine), reported to FAERS database between the fourth quarter of 2012 and the fourth quarter of 2019. Adjusted reporting odds ratio (ROR) for the development of each of the neuropsychiatric AEs following the use of chloroquine was calculated using a multilevel model. Results: We included 2,389,474 AE cases, among which 520 cases developed neuropsychiatric AE following the use of chloroquine. Exposure to chloroquine was associated with a statistically significant high reporting of amnesia, delirium, hallucinations, depression, and loss of consciousness, (lower 95% confidence interval of the adjusted ROR > 1), although the degree of increase in their ROR was limited. There was no statistically significant high reporting of any other neuropsychiatric AE, including suicide, psychosis, confusion, and agitation. Conclusion: Current pharmacovigilance study results did not suggest any potential link between the use of chloroquine and an increased risk of suicide, psychosis, confusion, and agitation, which would be informative during the emergency use of chloroquine for the treatment of COVID-19."
105,How long can darunavir/cobicistat suspensions compounded by pharmacists using as active ingredient a commercially available tablet can be stable for at least?,one week,997,FALSE,"Abstract The COVID-19 outbreak is now one of the most critical crises to manage for most of the national healthcare systems in the world. In the absence of authorised pharmacological treatments, many antiretrovirals, including darunavir/cobicistat fixed combination, were used off-label in the hospital wards as life-treating medicines for COVID-19 patients. Unfortunately, for most of them, the drug products available on the market are not designed to be administered by a nasogastric tube to inpatients of intensive care units. Therefore, their manipulation, even if it can strongly affect the product quality, is necessary for the preparation of suspension to meet patientsâ€™ need. In this situation, it is urgent to provide data and guidance to support hospital pharmacist and clinicians in their activity. The data in this article indicate that darunavir/cobicistat suspensions compounded by pharmacists using as active ingredient a commercially available tablet can be stable at least for one week."
106,Who are thought to be susceptible to the virus?,Neonates,525,FALSE,"Since December, 2019, a pneumonia of unknown cause, which has clinical manifestations similar to severe acute respiratory syndrome,1,2 originated in Wuhan, China, and has rapidly spread across China and to at least 23 countries. By Feb 5, 2020, the number of laboratory-confirmed cases had exceeded 20 000, with more than 400 deaths. About 100 children were affected, with the youngest being 30 h after birth. A novel virus named 2019 novel coronavirus (2019-nCoV) was considered to be the causative agent of this pneumonia. Neonates are thought to be susceptible to the virus because their immune system is not well developed, which is of great concern to neonatal medical service providers. Paediatricians and neonatologists belonging to the National Clinical Research Center for Child Health and Disorders and Pediatric Committee of Medical Association of Chinese Peopleâ€™s Liberation Army have contributed to the control efforts in China. We aim to elicit a contingency plan for the 2019-nCoV outbreak in neonatal intensive care units (NICUs), mainly focused on diagnostic and discharge criteria, treatment, prevention, and control strategies"
107,What does SARS-CoV utilize for viral entry?,ACE2 and TMPRSS2 host molecules ,145,FALSE,"ABSTRACTIn December 2019, SARS-CoV-2 emerged causing the COVID-19 pandemic. SARS-CoV, the agent responsible for the 2003 SARS outbreak, utilizes ACE2 and TMPRSS2 host molecules for viral entry. ACE2 and TMPRSS2 have recently been implicated in SARS-CoV-2 viral infection. Additional host molecules including ADAM17, cathepsin L, CD147, and GRP78 may also function as receptors for SARS-CoV-2.To determine the expression and in situ localization of candidate SARS-CoV-2 receptors in the respiratory mucosa, we analyzed gene expression datasets from airway epithelial cells of 515 healthy subjects, gene promoter activity analysis using the FANTOM5 dataset containing 120 distinct sample types, single cell RNA sequencing (scRNAseq) of 10 healthy subjects, immunoblots on multiple airway epithelial cell types, and immunohistochemistry on 98 human lung samples.We demonstrate absent to low ACE2 promoter activity in a variety of lung epithelial cell samples and low ACE2 gene expression in both microarray and scRNAseq datasets of epithelial cell populations. Consistent with gene expression, rare ACE2 protein expression was observed in the airway epithelium and alveoli of human lung. We present confirmatory evidence for the presence of TMPRSS2, CD147, and GRP78 protein in vitro in airway epithelial cells and confirm broad in situ protein expression of CD147 in the respiratory mucosa.Collectively, our data suggest the presence of a mechanism dynamically regulating ACE2 expression in human lung, perhaps in periods of SARS-CoV-2 infection, and also suggest that alternate receptors for SARS-CoV-2 exist to facilitate initial host cell infection."
108,What has this outbreak been tentatively associated with?,"a seafood market in Wuhan, China",191,FALSE,"AbstractThe ongoing outbreak of viral pneumonia in China and beyond is associated with a novel coronavirus, provisionally termed 2019-nCoV. This outbreak has been tentatively associated with a seafood market in Wuhan, China, where the sale of wild animals may be the source of zoonotic infection. Although bats are likely reservoir hosts for 2019-nCoV, the identity of any intermediate host facilitating transfer to humans is unknown. Here, we report the identification of 2019-nCoV related coronaviruses in pangolins (Manis javanica) seized in anti-smuggling operations in southern China. Metagenomic sequencing identified pangolin associated CoVs that belong to two sub-lineages of 2019-nCoV related coronaviruses, including one very closely related to 2019-nCoV in the receptor-binding domain. The discovery of multiple lineages of pangolin coronavirus and their similarity to 2019-nCoV suggests that pangolins should be considered as possible intermediate hosts for this novel human virus and should be removed from wet markets to prevent zoonotic transmission."
109,How many US hospital workers might get infected from COVID-19?,"53,640",1017,FALSE,"Objective: We estimated that how many hospital workers in the United States (US) might get infected or die in the COVID-19 pandemic. We also estimated the impact of personal protective equipment (PPE) and age restrictions on these estimates. Methods: Our secondary analyses estimated hospital worker infections in the US based on health worker infection and death rates per 100 deaths from COVID-19 in Hubei and Italy. We used Monte Carlo simulations to compute point estimates with 95% confidence intervals for hospital worker infections in the US based on the two scenarios. We computed potential decrease in infections if the PPE were available only to those involved in direct care of COVID-19 patients (~ 30%) and if workers aged â‰¥ 60 years are restricted from patient care. Estimates were adjusted for hospital workers per bed in the US compared to China and Italy. Results: The hospital worker infections per 100 deaths were 108.2 in Hubei and 94.1 in Italy. Based on Hubei scenario, we estimated that about 53,640 US hospital workers (95% CI: 43,160 to 62,251) might get infected from COVID-19. The Italian scenario suggested 53,097 US hospital worker (95% CI: 37,133 to 69,003) might get infected during the pandemic. Availability of PPE to high-risk workers could reduce counts to 28,100 (95% CI: 23,048 to 33,242) considering Hubei and to 28,354 (95% CI: 19,829 to 36,848) considering Italy. Restricting hospital workers aged â‰¥ 60 years from direct patient care reduced counts to 1,985 (95% CI: 1,627 to 2,347) considering Hubei and to 2,002 (95% CI: 1,400 to 2,602) considering the Italian scenario. Conclusion: We estimated significant burden of illness due to COVID-19 if no strategies are adopted. Making PPE available to all hospital workers and reducing exposure of hospital workers above the age of 60 could have significant reductions in hospital worker infections."
110,What may increase the susceptibility to SARS-CoV-2 infection and replication?,lung senescence ,163,FALSE,"AbstractCOVID-19 is prevalent in the elderly. Old individuals are more likely to develop pneumonia and respiratory failure due to alveolar damage, suggesting that lung senescence may increase the susceptibility to SARS-CoV-2 infection and replication. Considering that human coronavirus (HCoVs; SARS-CoV-2 and SARS-CoV) require host cellular factors for infection and replication, we analyzed Genotype-Tissue Expression (GTEx) data to test whether lung aging is associated with transcriptional changes in human protein-coding genes that potentially interact with these viruses. We found decreased expression of the gene tribbles homolog 3 (TRIB3) during aging in male individuals, and its protein was predicted to interact with HCoVs nucleocapsid protein and RNA-dependent RNA polymerase. Using publicly available lung single-cell data, we found TRIB3 expressed mainly in alveolar epithelial cells that express SARS-CoV-2 receptor ACE2. Functional enrichment analysis of age-related genes, in common with SARS-CoV-induced perturbations, revealed genes associated with the mitotic cell cycle and surfactant metabolism. Given that TRIB3 was previously reported to decrease virus infection and replication, the decreased expression of TRIB3 in aged lungs may help explain why older male patients are related to more severe cases of the COVID-19. Thus, drugs that stimulate TRIB3 expression should be evaluated as a potential therapy for the disease."
111,Where were most studies conducted in?,Asia,1220,FALSE,"Objectives: To examine the impact of providing healthcare during or after health emergencies caused by viral epidemic outbreaks on healthcare workers (HCWs) mental health, and to assess the available evidence base regarding interventions to reduce such impact. Design: Systematic rapid review and meta-analysis. Data sources: MEDLINE, Embase, and PsycINFO, searched up to 23 March 2020. Method: We selected observational and experimental studies examining the impact on mental health of epidemic outbreaks on HCWs. Titles and abstracts were screened by one reviewer, and full texts were evaluated by two reviewers independently. We extracted study characteristics, symptoms, prevalence of mental health problems, risk factors, mental health interventions, and its impact. We assessed risk of bias for each individual study. We conducted a narrative and tabulated synthesis of the results. We pooled data using random-effects meta-analyses to estimate the prevalence of specific mental health problems. We followed the GRADE approach to assess the certainty in the evidence. Results: We included 61 studies (56 examining impact on mental health and five about interventions to reduce such impact). Most were conducted in Asia (59%), examined the impact of the SARS epidemic (69%), and took place in the hospital setting (79%). The pooled prevalence was higher for anxiety (45%, 95% CI 21 to 69%; 6 studies, 3,373 participants), followed by depression (38%, 95% CI 15 to 60%; 7 studies, 3,636 participants), acute stress disorder (31%, 95% CI 0 to 82%, 3 studies , 2,587 participants), burnout (29%, 95% CI 25 to 32%; 3 studies; 1,168 participants) and post-traumatic stress disorder (19%, 95% CI 11 to 26%, 10 studies, 3,121 participants). Based on 37 studies, we identified a broad number of risk factors for these conditions, including sociodemographic: younger age and female gender; social factors: lack of social support, social rejection or isolation, stigmatization; and occupational: working in a high risk environment (frontline staff), specific occupational roles (e.g., nurse), and lower levels of specialized training, preparedness and job experience. Two out of five interventions identified were educational aimed to prevent mental health problems by increasing HCWs resilience. These interventions showed positive effects in confidence in support and training, pandemic self-efficacy and interpersonal problems solving (very low certainty). One multifaceted intervention (based on training and organisational changes) targeted at hospital nurses during the SARS epidemic produced statistically significant improvements in anxiety, depression, and sleep quality (very low certainty). The impact of the two remaining interventions (multifaceted and based on psychotherapy provision) was unreported. Conclusion: The prevalence of anxiety, depression, acute and post-traumatic stress disorder, and burnout, was high both during and after the outbreaks. These problems not only have a long-lasting effect on the mental health of HCWs, but also hinder the urgent response to the current COVID-19 pandemic, by jeopardising attention and decision-making. Governments and healthcare authorities should take urgent actions to protect the mental health of HCWs. In light of the limited evidence regarding the impact of interventions to tackle mental health problems in HCWs, the risk factors identified in this study represent important targets for future interventions."
112,What can be adapted for surgical procedures that may be AGMPs?,Modifications of the clear plastics,371,FALSE,"Protection of frontline HCPs is paramount. However, PPE is a limited resource and often requires providers to be adaptive and resourceful in a crisis. The inexpensive and simple method of using clear drapes during extubation (and possibly intubation) of COVID-19 patients may be considered by frontline HCPs and infection control specialists as an additional precaution. Modifications of the clear plastics can be adapted for surgical procedures that may be AGMPs."
113,How many patients out of seven patients required supportive care with intravenous hydration?,two,495,FALSE,"Abstract As the worldwide incidence of coronavirus disease 2019 (COVID-19) rapidly increases, there remains limited information on COVID-19 in pregnancy. We present here our experience with an initial seven cases of confirmed COVID-19 in pregnancy presenting to a single large New York City tertiary care hospital. Five of the seven patients presented with symptoms of COVID-19, including cough, myalgias, fevers, chest pain, and headache. Four patients were admitted to the hospital, including two who required supportive care with intravenous hydration. Most notably, the other two admitted patients were asymptomatic on admission to the hospital, presenting instead for obstetrically-indicated labor inductions; both of these patients became symptomatic post-partum, each requiring intensive care unit admission."
114,How many patients has the recent pandemic of COVID-19 involved?,tens of thousands of patients,45,FALSE,"The recent pandemic of COVID-19 has involved tens of thousands of patients in numerous countries and the causative virus, SARS COV-2 is highly transmissible. Molecular diagnostic tools are central to containment of the virus and initiating proper clinical care. Rapidity, user-friendliness, and high degree of sensitivity and specificity are desirable features of diagnostic assays for screening purposes. Herein, we present a single step reverse transcriptase LAMP assay (RT-LAMP), which can detect up to 500 viral copies in 30 minutes. We challenged our assay with a large number of clinical samples collected from 47 confirmed cases and 213 negative patients. Our LAMP assay showed a high degree of sensitivity and specificity compared to two commercialized qRT-PCR assay as gold standard. We present a rapid RT-LAMP assay that could extend the capacity of laboratories to process 2.5 more clinical samples relative to qRT-PCR and potentially could be used for high-throughput screening purposes."
115,How did we identify a set of B cell and T cell epitopes derived from the spike (S) and nucleocapsid (N) proteins that map identically to SARS-CoV-2 proteins?,By screening the experimentally-determined SARS-CoV-derived B cell and T cell epitopes in the immunogenic structural proteins of SARS-CoV,522,FALSE,"AbstractThe beginning of 2020 has seen the emergence of COVID-19 outbreak caused by a novel coronavirus, Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2). There is an imminent need to better understand this new virus and to develop ways to control its spread. In this study, we sought to gain insights for vaccine design against SARS-CoV-2 by considering the high genetic similarity between SARS-CoV-2 and SARS-CoV, which caused the outbreak in 2003, and leveraging existing immunological studies of SARS-CoV. By screening the experimentally-determined SARS-CoV-derived B cell and T cell epitopes in the immunogenic structural proteins of SARS-CoV, we identified a set of B cell and T cell epitopes derived from the spike (S) and nucleocapsid (N) proteins that map identically to SARS-CoV-2 proteins. As no mutation has been observed in these identified epitopes among the available SARS-CoV-2 sequences (as of 9 February 2020), immune targeting of these epitopes may potentially offer protection against this novel virus. For the T cell epitopes, we performed a population coverage analysis of the associated MHC alleles and proposed a set of epitopes that is estimated to provide broad coverage globally, as well as in China. Our findings provide a screened set of epitopes that can help guide experimental efforts towards the development of vaccines against SARS-CoV-2."
116,What could this model provide?,more information for government's future decisions on COVID-19 outbreak control,1775,FALSE,"The novel coronavirus (SARS-CoV-2/ 2019-nCoV) identified in Wuhan, China, in December 2019 has caused great damage to public health and economy worldwide with over 140,000 infected cases up to date. Previous research has suggested an involvement of meteorological conditions in the spread of droplet-mediated viral diseases, such as influenza. However, as for the recent novel coronavirus, few studies have discussed systematically about the role of daily weather in the epidemic transmission of the virus. Here, we examine the relationships of meteorological variables with the severity of the outbreak on a worldwide scale. The confirmed case counts, which indicates the severity of COVID-19 spread, and four meteorological variables, i.e., air temperature, relative humidity, wind speed, and visibility, were collected daily between January 20 and March 11 (52 days) for 430 cities and districts all over China, 21 cities/ provinces in Italy, 21 cities/ provinces in Japan, and 51 other countries around the world. Four different time delays of weather (on the day, 3 days ago, 7 days ago, and 14 days ago) as to the epidemic situation were taken for modeling and we finally chose the weather two weeks ago to model against the daily epidemic situation as its correlated with the outbreak best. Taken Chinese cities as a discovery dataset, it was suggested that temperature, wind speed, and relative humidity combined together could best predict the epidemic situation. The meteorological model could well predict the outbreak around the world with a high correlation (r2>0.6) with the real data. Using this model, we further predicted the possible epidemic situation in the future 12 days in several high-latitude cities with potential outbreak. This model could provide more information for government's future decisions on COVID-19 outbreak control."
